Year,Count
1940,7
1941,1
1942,1
1943,3
1944,4
1945,2
1946,12
1947,5
1948,7
1949,11
1950,18
1951,12
1952,21
1953,26
1954,23
1955,31
1956,20
1957,36
1958,35
1959,23
1960,40
1961,114
1962,47
1963,65
1964,44
1965,70
1966,64
1967,83
1968,79
1969,72
1970,118
1971,170
1972,205
1973,166
1974,107
1975,161
1976,177
1977,255
1978,247
1979,312
1980,259
1981,290
1982,301
1983,314
1984,364
1985,401
1986,422
1987,423
1988,413
1989,505
1990,466
1991,483
1992,529
1993,735
1994,699
1995,927
1996,1322
1997,1105
1998,1236
1999,1372
2000,1363
2001,1307
2002,1252
2003,1207
2004,1290
2005,1253
2006,1331
2007,1351
2008,1308
2009,1331
2010,1330
2011,1440
2012,1637
2013,1785
2014,1842
2015,1685
2016,1448
2017,1363
2018,1708
2019,1430
